	GSM575635	GSM575636	GSM575637	GSM575638	GSM575639	GSM575640	GSM575641	GSM575642	GSM575643	GSM575644	GSM575645	GSM575646	GSM575647	GSM575648	GSM575649	GSM575650	GSM575651	GSM575652	GSM575653	GSM575654	GSM575655	GSM575656	GSM575657	GSM575658	GSM575659	GSM575660	GSM575661	GSM575662	GSM575664	GSM575665	GSM575666	GSM575667	GSM575668	GSM575669	GSM575670	GSM575671	GSM575672	GSM575673	GSM575674	GSM575675	GSM575676	GSM575677	GSM575678	GSM575679	GSM575680	GSM575681	GSM575682	GSM575683	GSM575684	GSM575685	GSM575686	GSM575687	GSM575688	GSM575689	GSM575690	GSM575691	GSM575692	GSM575693	GSM575694	GSM575695	GSM575696	GSM575697	GSM575698	GSM575699	GSM575700	GSM575701	GSM575702	GSM575703
1405_i_at	12.53	12.99	11.85	12.12	13.13	13.55	10.36	12.17	11.32	11.23	14.37	14.36	12.22	11.59	14.25	12.92	9.17	11.74	9.05	12.17	9.71	9.33	12.97	10.38	8.97	9.42	12.51	11.88	13.53	12.85	12.20	10.80	12.34	11.58	13.90	11.16	11.95	14.28	13.34	11.04	13.85	11.30	11.54	12.74	13.19	13.89	14.72	12.87	12.29	11.61	9.71	13.19	13.60	15.08	11.29	14.51	13.31	14.64	12.88	14.60	13.55	12.12	13.48	12.65	14.12	12.53	14.24	13.75
1552423_at	7.83	6.86	6.64	7.35	7.44	8.10	7.51	7.77	8.32	8.48	7.99	7.91	8.14	7.86	7.54	7.88	8.10	8.06	7.32	7.34	4.27	7.59	8.16	7.25	7.72	6.52	7.49	8.20	7.42	7.68	7.98	8.54	8.54	7.99	8.08	8.55	8.15	6.60	8.17	7.78	7.58	5.88	7.92	7.62	7.42	4.48	6.87	7.08	7.76	8.22	8.00	7.64	5.88	8.07	8.08	6.24	6.01	7.98	6.98	6.23	7.63	6.01	7.39	6.68	4.57	7.30	6.91	7.39
1553297_a_at	9.44	9.25	9.71	8.92	9.26	9.42	9.07	10.20	9.11	9.30	9.59	8.79	8.30	8.38	9.85	9.30	8.56	9.49	6.59	8.74	8.46	7.80	9.22	9.05	8.96	7.77	9.41	8.58	9.28	8.72	8.82	9.83	8.48	8.36	9.80	8.14	9.87	9.01	8.29	9.49	11.30	7.76	8.73	9.20	9.08	9.39	10.42	8.61	6.04	7.27	5.65	10.47	9.43	9.90	8.27	9.65	8.40	9.85	8.48	9.71	9.16	8.16	8.20	8.35	9.36	8.22	9.10	9.18
1553513_at	3.33	5.72	5.81	4.60	5.99	6.25	5.63	5.54	6.72	3.38	7.06	6.45	6.19	7.73	5.15	1.96	2.63	6.95	7.13	5.89	3.34	6.00	3.24	2.20	3.92	6.68	2.61	3.45	5.89	5.75	3.15	1.69	6.23	3.53	5.68	6.12	5.82	7.23	4.68	5.33	3.24	3.31	4.04	2.44	3.84	5.47	1.89	3.64	5.46	8.05	3.43	3.55	4.25	3.32	6.97	1.46	6.63	6.26	5.69	6.00	1.70	2.34	2.96	6.96	4.21	3.45	3.37	4.56
1553681_a_at	9.66	9.60	9.52	9.35	8.63	10.69	8.66	9.94	9.72	8.46	9.23	9.54	9.42	9.77	10.52	9.97	9.17	8.31	7.62	10.29	9.21	7.72	9.31	8.18	9.36	7.81	9.69	9.49	9.17	9.34	9.57	9.05	9.17	9.05	9.94	9.03	10.07	9.43	9.44	9.83	11.76	9.57	9.43	8.57	9.45	9.53	13.14	10.60	8.63	8.31	8.63	8.79	8.96	9.47	9.06	10.65	8.77	9.77	8.29	10.40	9.89	8.61	8.99	8.98	9.07	8.41	9.74	9.86
1553856_s_at	7.29	8.35	7.76	7.60	7.73	10.16	8.02	8.02	8.18	7.91	5.28	9.85	9.37	10.97	9.70	10.99	8.54	8.64	9.54	11.55	8.88	8.68	9.28	9.70	11.36	10.01	9.78	10.04	8.08	7.94	9.47	9.47	8.56	9.61	8.55	10.08	10.29	8.63	9.59	10.16	10.60	10.72	8.14	9.49	9.42	9.40	10.09	10.48	8.10	8.96	11.60	8.53	9.34	9.22	9.21	10.46	8.15	9.19	10.77	8.58	10.04	8.81	9.70	10.04	8.61	8.35	10.03	10.14
1554033_at	3.35	3.62	2.06	3.89	2.97	3.33	1.91	4.56	6.32	4.03	3.46	4.32	4.39	3.25	3.02	6.21	5.61	4.35	7.43	2.66	2.61	2.58	2.37	4.48	5.40	3.03	2.65	4.07	4.09	4.83	2.45	3.45	3.91	4.12	3.76	2.30	5.02	3.13	4.31	2.29	3.19	2.94	5.28	4.84	3.99	3.30	3.15	3.23	5.62	4.80	3.37	3.91	2.34	4.76	4.07	3.86	3.63	4.78	3.82	4.12	5.76	4.55	2.16	5.57	2.97	2.25	4.31	3.24
1554050_at	7.94	8.12	7.43	8.06	7.65	6.23	7.03	8.55	8.20	7.55	8.93	8.30	8.71	8.20	7.55	7.49	7.67	7.86	6.17	7.54	7.42	7.61	8.20	3.92	5.82	7.23	7.86	7.78	7.65	8.98	7.84	8.59	8.07	7.97	8.37	7.98	7.86	8.37	7.67	7.49	7.74	5.00	7.63	7.05	7.89	7.59	6.27	4.83	7.21	5.44	7.20	8.56	6.88	7.63	8.48	6.82	4.40	6.95	6.59	4.82	6.73	6.94	7.53	5.72	6.41	4.39	7.70	6.01
1554343_a_at	10.18	8.68	7.27	10.83	9.92	9.65	12.20	10.42	9.66	10.60	9.35	10.50	10.40	11.46	6.42	8.81	11.48	10.06	11.78	10.32	8.16	13.05	10.13	10.65	10.21	12.82	10.10	11.26	11.23	9.32	9.86	9.95	12.40	11.83	10.20	11.69	10.34	8.72	11.41	8.75	8.36	11.40	12.15	9.30	10.69	10.43	9.36	9.61	11.24	10.19	9.65	10.56	9.84	9.28	8.65	9.00	12.14	10.58	10.90	10.91	10.03	11.54	11.50	12.85	11.40	11.73	10.90	9.59
1554842_at	6.65	5.91	4.07	6.24	5.54	5.03	4.51	6.78	6.79	6.96	6.43	5.16	5.19	8.47	6.91	7.46	4.47	6.40	4.28	5.98	6.30	5.11	7.19	4.40	4.19	6.54	6.70	4.59	5.40	7.77	6.87	7.05	1.66	6.85	7.49	4.77	7.26	6.98	7.09	6.73	6.52	6.50	6.30	3.67	5.79	3.43	7.23	6.39	7.03	7.49	6.39	4.52	6.32	5.26	5.39	7.12	7.01	3.38	7.30	4.62	5.96	4.39	6.28	5.07	6.23	5.10	6.00	3.89
